﻿content,platform,url,timestamp,interaction
永雏塔菲（Ace Taffy）是一名个人势虚拟偶像，2021年6月出道，形象由神乐七奈设计,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲设定为来自1885年的侦探发明家，乘坐时光机来到现代，被电子游戏吸引不想返回过去,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲的粉丝被称为"雏草姬"，B站粉丝超过187万,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲在B站、YouTube、抖音、微博、Twitter等多个平台活动,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲身高148cm（含呆毛），体重80斤不到，生日1868年8月12日,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲2021年6月26日正式出道，2022年2月23日成为B站千人舰队主播,哔哩哔哩,https://m.bilibili.com/opus/972640638910595075?bsource=toutiao_bilibilih5,2026-04-10 17:00:00,0
永雏塔菲的直播内容包括日常杂谈、音乐演唱、观影互动以及各类游戏实况等,豌豆荚,https://m.wandoujia.com/strategy/12588981148669994045.html,2026-04-10 17:00:00,0
永雏塔菲自称17岁，来自威尔士，15岁时继承了侦探事务所,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲发明了时光机，载重量超过129.3㎏，会迟到36年,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲将夏洛克·福尔摩斯视为死对头，因为认为他导致了侦探业的内卷,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲2023年12月31日获得B站百万粉丝成就奖,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
永雏塔菲的形象特点包括粉发、呆毛、M形刘海、下双马尾、金瞳、心形眼等,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh-sg,2026-04-10 17:00:00,0
梗名称：taffy能嘤嘤嘤也能冷冰冰喵！; 完整描述：永雏塔菲改编自《恋爱吗弟弟》的歌词，表达自己的多面性，既可以可爱嘤嘤嘤，也可以很酷冷冰冰; 流行时间：2025年; 背景信息：源自歌曲《恋爱吗弟弟》，塔菲将其改编为自己的应援词,新浪财经,https://cj.sina.com.cn/articles/view/7857201851/1d45362bb068019y22,2026-04-10 17:10:00,0
梗名称：关注永雏塔菲喵，关注永雏塔菲谢谢喵！; 完整描述：永雏塔菲的经典应援口号，粉丝用来表达对塔菲的支持和喜爱; 流行时间：2021年至今; 背景信息：塔菲直播中的固定结束语，逐渐成为粉丝之间的暗号,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh,2026-04-10 17:10:00,0
梗名称：菲球; 完整描述：永雏塔菲的昵称，形容她可爱圆润的形象; 流行时间：2021年至今; 背景信息：粉丝根据塔菲的形象特点创造的昵称，表达对她的喜爱,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh,2026-04-10 17:10:00,0
梗名称：可以直播赚钱，也可以捡垃圾吃活下去; 完整描述：永雏塔菲在直播中提到的生存哲学，展现了她乐观的性格; 流行时间：2023年至今; 背景信息：塔菲在讨论生存问题时的经典台词，被粉丝广泛传播,豌豆荚,https://m.wandoujia.com/strategy/12588981148669994045.html,2026-04-10 17:10:00,0
梗名称：菠萝包梗; 完整描述：在《虚环》游戏PV中，塔菲盯着面包店橱窗，被猜测是在玩"菠萝包"（一位富二代帅哥，其前女友多为VUP）的梗; 流行时间：2025年; 背景信息：游戏《虚环》中的彩蛋，结合了V圈的热门话题,豌豆荚,https://m.wandoujia.com/apps/8408838/14061914438078793994.html,2026-04-10 17:10:00,0
梗名称：TCG梗; 完整描述：V圈黑话，"TCG"谐音"塔畜滚"，在《虚环》游戏中星瞳展示TCG卡牌时，玩家被提醒"别让塔菲看到"; 流行时间：2025年; 背景信息：游戏《虚环》中的梗，结合了V圈的内部用语,豌豆荚,https://m.wandoujia.com/apps/8408838/14061914438078793994.html,2026-04-10 17:10:00,0
梗名称：塔二台; 完整描述：永雏塔菲的备用账号或第二频道，用于发布一些额外内容; 流行时间：2022年至今; 背景信息：塔菲为了区分不同类型的内容而创建的第二账号,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh,2026-04-10 17:10:00,0
梗名称：威尔士人; 完整描述：永雏塔菲设定中来自威尔士，经常在直播中提到自己的威尔士身份; 流行时间：2021年至今; 背景信息：塔菲的设定背景，她出生于1868年的威尔士,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh,2026-04-10 17:10:00,0
梗名称：时光机迟到36年; 完整描述：永雏塔菲乘坐时光机试图穿越到100年后，但却迟到了36年来到现代; 流行时间：2021年至今; 背景信息：塔菲的核心设定，解释了她为何从1885年来到现代,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh,2026-04-10 17:10:00,0
梗名称：福尔摩斯死对头; 完整描述：永雏塔菲将夏洛克·福尔摩斯视为死对头，认为他导致了侦探业的内卷; 流行时间：2021年至今; 背景信息：塔菲设定中的情节，她继承侦探事务所后因福尔摩斯的知名度而接不到委托,萌娘百科,https://moegirl.uk/index.php?title=%E6%B0%B8%E9%9B%8F%E5%A1%94%E8%8F%B2&variant=zh,2026-04-10 17:10:00,0